Date,EstimatedTransactionVolUSD
2018-08-12,333729799.273728
2018-08-13,843998947.366735
2018-08-14,1058727905.8517
2018-08-15,891860903.410449
2018-08-16,687000468.616544
2018-08-17,783014397.650863
2018-08-18,375616573.760664
2018-08-19,272507659.256713
2018-08-20,647035144.277823
2018-08-21,872997532.530483
2018-08-22,1022941525.80422
2018-08-23,884447407.308312
2018-08-24,660537345.458553
2018-08-25,513006216.129736
2018-08-26,385892530.065467
2018-08-27,788251385.708113
2018-08-28,977831328.38873
2018-08-29,871163498.732377
2018-08-30,798481940.583074
2018-08-31,867343981.067502
2018-09-01,530711688.309403
2018-09-02,446514389.352451
2018-09-03,724804467.105384
2018-09-04,846834354.747458
2018-09-05,945103849.443573
2018-09-06,1082892621.38464
2018-09-07,745568366.660223
2018-09-08,364549896.733295
2018-09-09,468243443.824087
2018-09-10,708849887.876883
2018-09-11,741261462.953143
2018-09-12,668389215.80635
2018-09-13,1248849239.09691
2018-09-14,739529758.061071
2018-09-15,374552271.564309
2018-09-16,284144583.385653
2018-09-17,572850819.087677
2018-09-18,609895982.986467
2018-09-19,707175800.269635
2018-09-20,682414738.538983
2018-09-21,984934175.352113
2018-09-22,463989750.23086
2018-09-23,335911295.135385
2018-09-24,512802846.645718
2018-09-25,852085846.884051
2018-09-26,753603397.081026
2018-09-27,820387842.811755
2018-09-28,916157415.889114
2018-09-29,463385867.587157
2018-09-30,420373521.290011
2018-10-01,687226380.28596
2018-10-02,826082619.396765
2018-10-03,739357175.753423
2018-10-04,669076735.684256
2018-10-05,627109174.216566
2018-10-06,388807367.745174
2018-10-07,250377608.065456
2018-10-08,629275555.877636
2018-10-09,703382178.200891
2018-10-10,752875717.155181
2018-10-11,887230191.302002
2018-10-12,795636845.77935
2018-10-13,367758599.901248
2018-10-14,398408927.243372
2018-10-15,1406050478.15614
2018-10-16,881840150.059263
2018-10-17,727254416.70506
2018-10-18,865272971.545354
2018-10-19,835097399.748975
2018-10-20,688806312.502373
2018-10-21,291411405.420086
2018-10-22,729556262.822167
2018-10-23,726527353.625848
2018-10-24,772529022.514555
2018-10-25,813572559.956069
2018-10-26,744611642.283238
2018-10-27,380002708.052395
2018-10-28,458829452.673475
2018-10-29,894864910.143942
2018-10-30,627295099.087327
2018-10-31,803653185.537381
2018-11-01,806286748.991908
2018-11-02,870677656.724169
2018-11-03,366071278.717674
2018-11-04,525975032.809028
2018-11-05,749362381.010526
2018-11-06,750361150.52447
2018-11-07,854471221.93819
2018-11-08,773348007.473165
2018-11-09,836981702.027843
2018-11-10,384259934.959002
2018-11-11,384049108.093398
2018-11-12,752483811.281994
2018-11-13,807686927.071364
2018-11-14,1181029259.22239
2018-11-15,2667893505.4359
2018-11-16,1082196428.0914
2018-11-17,490284413.215375
2018-11-18,353784045.651087
2018-11-19,1021796905.51698
2018-11-20,1475820951.9215
2018-11-21,1007014547.88543
2018-11-22,662090854.575515
2018-11-23,740000744.408572
2018-11-24,398983130.753916
2018-11-25,618633300.615613
2018-11-26,736626813.699038
2018-11-27,846867046.177511
2018-11-28,807058144.18961
2018-11-29,916066338.214875
2018-11-30,1613578163.501
2018-12-01,689975479.91139
2018-12-02,348205860.313343
2018-12-03,1239335737.26842
2018-12-04,2465252204.48521
2018-12-05,1409782758.74234
2018-12-06,1426379105.59656
2018-12-07,751100109.531282
2018-12-08,368967391.581389
2018-12-09,279427828.545502
2018-12-10,526990901.514102
2018-12-11,729578613.430161
2018-12-12,548638941.837879
2018-12-13,597302476.971246
2018-12-14,523412561.153412
2018-12-15,290998236.25118
2018-12-16,315066374.369889
2018-12-17,540372096.140375
2018-12-18,717156551.783183
2018-12-19,893184813.801197
2018-12-20,823827197.285609
2018-12-21,810541683.478578
2018-12-22,303876048.573279
2018-12-23,390737504.851646
2018-12-24,684558459.306399
2018-12-25,403843192.833081
2018-12-26,422281688.50925
2018-12-27,570591347.723592
2018-12-28,626362020.822387
2018-12-29,421850491.831543
2018-12-30,267240600.175454
2018-12-31,476003087.181449
2019-01-01,220483471.203023
2019-01-02,493860140.978368
2019-01-03,586335098.627541
2019-01-04,534739538.898411
2019-01-05,325849324.68623
2019-01-06,295057199.362848
2019-01-07,622810992.785056
2019-01-08,595564198.861272
2019-01-09,630379615.777342
2019-01-10,668725127.473898
2019-01-11,1080849631.24838
2019-01-12,270915665.310548
2019-01-13,235049030.017961
2019-01-14,585869867.324651
2019-01-15,1270645847.43182
2019-01-16,618560383.821684
2019-01-17,507804662.074602
2019-01-18,449808595.91667
2019-01-19,310087042.05763
2019-01-20,238388741.655114
2019-01-21,488189514.450034
2019-01-22,560917561.014163
2019-01-23,538919234.425191
2019-01-24,477934358.136481
2019-01-25,456544872.149056
2019-01-26,292643247.155555
2019-01-27,223512708.830142
2019-01-28,598393585.443257
2019-01-29,502734964.416652
2019-01-30,737418316.862737
2019-01-31,574609830.720808
2019-02-01,611007305.317559
2019-02-02,315786229.87276
2019-02-03,265197431.536246
2019-02-04,353232913.224304
2019-02-05,414929550.42717
2019-02-06,496046280.164536
2019-02-07,475540835.9098
2019-02-08,552614639.038452
2019-02-09,290308690.903251
2019-02-10,273943900.738583
2019-02-11,512333681.418858
2019-02-12,494313528.417058
2019-02-13,679292514.995367
2019-02-14,465606911.488956
2019-02-15,475673471.435307
2019-02-16,363956258.170098
2019-02-17,237971659.056432
2019-02-18,689163298.994228
2019-02-19,719387605.250789
2019-02-20,696700438.735942
2019-02-21,658222916.530834
2019-02-22,594309375.18449
2019-02-23,489507893.012273
2019-02-24,436413535.328223
2019-02-25,788388101.207672
2019-02-26,592375975.327037
2019-02-27,573599563.168567
2019-02-28,936111689.337251
2019-03-01,536410480.46392
2019-03-02,440970166.168073
2019-03-03,260455173.231934
2019-03-04,510664925.146437
2019-03-05,545495184.577438
2019-03-06,603814020.830587
2019-03-07,598136964.047837
2019-03-08,621749744.798023
2019-03-09,335332056.773866
2019-03-10,289475543.963133
2019-03-11,581817561.236106
2019-03-12,634318677.206897
2019-03-13,632556077.344
2019-03-14,715988875.30552
2019-03-15,544675740.536405
2019-03-16,360840832.093826
2019-03-17,249331295.569819
2019-03-18,597904327.879694
2019-03-19,609610214.504111
2019-03-20,649248713.708245
2019-03-21,650496386.448401
2019-03-22,528282764.480713
2019-03-23,315765407.872059
2019-03-24,288672589.988115
2019-03-25,596522167.552637
2019-03-26,604089194.968484
2019-03-27,624205341.900583
2019-03-28,625086884.886481
2019-03-29,818224153.65678
2019-03-30,350278425.921954
2019-03-31,421441500.798735
2019-04-01,640470349.712981
2019-04-02,1458650931.44406
2019-04-03,1183522596.2499
2019-04-04,1008344651.11579
2019-04-05,898533778.471696
2019-04-06,426663923.548921
2019-04-07,441363438.70443
2019-04-08,983977267.449247
2019-04-09,877070582.095037
2019-04-10,851450827.774018
2019-04-11,1050019754.79499
2019-04-12,693684833.346474
2019-04-13,423377389.265318
2019-04-14,550425596.886162
2019-04-15,804147839.205968
2019-04-16,645003301.664171
2019-04-17,896458088.041183
2019-04-18,694249179.155019
2019-04-19,691322116.122815
2019-04-20,373941308.535081
2019-04-21,360713964.469088
2019-04-22,740397862.708848
2019-04-23,825599122.58348
2019-04-24,1576941009.18347
2019-04-25,826381786.755593
2019-04-26,1196016425.6664
2019-04-27,442516045.090871
2019-04-28,426337706.723816
2019-04-29,886065657.844522
2019-04-30,841828231.12052
2019-05-01,878862399.05446
2019-05-02,760391105.92548
2019-05-03,858064130.790705
2019-05-04,489890940.823787
2019-05-05,446363838.194411
2019-05-06,769428196.684081
2019-05-07,1041193668.85865
2019-05-08,1026598912.92612
2019-05-09,1251747786.99949
2019-05-10,1285152265.18143
2019-05-11,890773875.557915
2019-05-12,1047479224.06264
2019-05-13,1691655708.37404
2019-05-14,1659251075.53614
2019-05-15,1595050697.09695
2019-05-16,1694528053.99168
2019-05-17,1298197113.841
2019-05-18,688963903.658277
2019-05-19,776463133.467301
2019-05-20,1127760758.33771
2019-05-21,1011724990.89294
2019-05-22,1126821699.73429
2019-05-23,1180520164.76067
2019-05-24,1291010564.0933
2019-05-25,551935634.865766
2019-05-26,848987065.906149
2019-05-27,1318870008.46283
2019-05-28,1475454597.97029
2019-05-29,2715969883.44545
2019-05-30,1307364485.98112
2019-05-31,2139391264.47921
2019-06-01,950272921.697104
2019-06-02,661260854.072411
2019-06-03,1387869417.39436
2019-06-04,2210912218.37581
2019-06-05,2554143447.31926
2019-06-06,2028322128.99115
2019-06-07,1100908051.78238
2019-06-08,537539563.516134
2019-06-09,429940401.765129
2019-06-10,1024400574.27776
2019-06-11,1596486462.48794
2019-06-12,1164520570.45808
2019-06-13,1133834031.3768
2019-06-14,1268348918.472
2019-06-15,856304521.345165
2019-06-16,1037160332.21346
2019-06-17,2950935222.42847
2019-06-18,2182288636.43523
2019-06-19,1908684407.20105
2019-06-20,1190905553.64237
2019-06-21,1529747837.77371
2019-06-22,2222444544.5401
2019-06-23,1181274913.1325
2019-06-24,1758426569.15256
2019-06-25,1831245148.07661
2019-06-26,2930019255.94771
2019-06-27,2491886549.14668
2019-06-28,2653064698.96847
2019-06-29,1357452935.74732
2019-06-30,1651368348.22081
