Date,dates_count1
10/21/2018,3789181.5
10/22/2018,8516957
10/23/2018,1182763.5
10/24/2018,2814851.5
10/25/2018,3429480
10/26/2018,1337314
10/27/2018,1115728
10/28/2018,369340.5
10/29/2018,10703700.5
10/30/2018,5750625
10/31/2018,5084939.5
11/1/2018,4045908
11/2/2018,1572024.5
11/3/2018,302018.5
11/4/2018,2402435.5
11/5/2018,1551859.25
11/6/2018,14355684
11/7/2018,6884002.5
11/8/2018,8764991
11/9/2018,2511538
11/10/2018,287914.5
11/11/2018,1357961
11/12/2018,1640412
11/13/2018,3412610.5
11/14/2018,11108058.75
11/15/2018,16447375
11/16/2018,9011473.5
11/17/2018,4985792.5
11/18/2018,156691
11/19/2018,4195764
11/20/2018,19350510.5
11/21/2018,22122470
11/22/2018,10527698.75
11/23/2018,2928672.5
11/24/2018,8699674
11/25/2018,3597120.5
11/26/2018,7541631.5
11/27/2018,4718932.5
11/28/2018,3230659
11/29/2018,11927211.5
11/30/2018,5287824.5
12/1/2018,4224794.5
12/2/2018,3056684
12/3/2018,11829951
12/4/2018,7786413.5
12/5/2018,563055
12/6/2018,1629361.5
12/7/2018,1532704.5
12/8/2018,1874423
12/9/2018,919836
12/10/2018,3261956.5
12/11/2018,8216903.5
12/12/2018,10910498
12/13/2018,6786463
12/14/2018,866749
12/15/2018,2480955.5
12/16/2018,4237796
12/17/2018,1452778
12/18/2018,6306941.25
12/19/2018,4823910.5
12/20/2018,6705138.5
12/21/2018,5472309
12/22/2018,790923
12/23/2018,615955
12/24/2018,524017.5
12/25/2018,1362180
12/26/2018,729193.5
12/27/2018,482301.5
12/28/2018,578228
12/29/2018,851073
12/30/2018,1320641.5
12/31/2018,1553535
1/1/2019,1600885.5
1/2/2019,273189.5
1/3/2019,4019819
1/4/2019,1458560
1/5/2019,1330440
1/6/2019,1570323
1/7/2019,5363608
1/8/2019,5603160.5
1/9/2019,1124958.5
1/10/2019,1617035.5
1/11/2019,3224457.5
1/12/2019,1347621
1/13/2019,829479
1/14/2019,3005322.5
1/15/2019,5776854.5
1/16/2019,9471672
1/17/2019,2113543
1/18/2019,3738917.5
1/19/2019,554508.5
1/20/2019,1122636
1/21/2019,704893.25
1/22/2019,1111804.5
1/23/2019,7653176
1/24/2019,416740.5
1/25/2019,6368511.5
1/26/2019,2535283
1/27/2019,467803.5
1/28/2019,439131.5
1/29/2019,1569994.5
1/30/2019,1849258.75
1/31/2019,180550.5
2/1/2019,6226334
2/2/2019,4938095
2/3/2019,597161
2/4/2019,984509.5
2/5/2019,609999
2/6/2019,508565.5
2/7/2019,208483.5
2/8/2019,2331422.25
2/9/2019,4176127.5
2/10/2019,2421074
2/11/2019,4314524
2/12/2019,12378899
2/13/2019,7150663
2/14/2019,825923
2/15/2019,617275
2/16/2019,3871329.25
2/17/2019,343061
2/18/2019,3949044.5
2/19/2019,10509010.5
2/20/2019,8986799.5
2/21/2019,4702512
2/22/2019,2498320
2/23/2019,1006352.5
2/24/2019,2925693.5
2/25/2019,4216204
2/26/2019,4509635.5
2/27/2019,3028107.5
2/28/2019,9088857
3/1/2019,6642550.5
3/2/2019,2515618.5
3/3/2019,3329159
3/4/2019,2021661.5
3/5/2019,1072294.5
3/6/2019,4802767.5
3/7/2019,9611678
3/8/2019,5593997.5
3/9/2019,4838514.5
3/10/2019,1061846
3/11/2019,3760959
3/12/2019,344009.5
3/13/2019,387204
3/14/2019,3798666.25
3/15/2019,5430585
3/16/2019,1071552
3/17/2019,1419826.5
3/18/2019,511131.5
3/19/2019,614973
3/20/2019,234481.5
3/21/2019,1455105
3/22/2019,1148918.5
3/23/2019,485879.75
3/24/2019,517065
3/25/2019,1741344
3/26/2019,5216292.5
3/27/2019,6613687.5
3/28/2019,13451167.5
3/29/2019,10727233
3/30/2019,13459413
3/31/2019,15050654.75
4/1/2019,28157208.5
4/2/2019,39837917.5
4/3/2019,40225314.5
4/4/2019,46892350
4/5/2019,26858567
4/6/2019,9418755
4/7/2019,3530146
4/8/2019,4361667.5
4/9/2019,8188626.25
4/10/2019,6286084.5
4/11/2019,4845404.5
4/12/2019,3930066
4/13/2019,5734148.5
4/14/2019,777442.5
4/15/2019,3162508.5
4/16/2019,4700241
4/17/2019,7220833.25
4/18/2019,13160282.5
4/19/2019,7773887
4/20/2019,22986032
4/21/2019,7067127
4/22/2019,9525924.5
4/23/2019,13348264.5
4/24/2019,25763190
4/25/2019,14302031
4/26/2019,10985081.5
4/27/2019,2549899.5
4/28/2019,374546
