Date,TotalTransactions
12/27/2015,100306630
12/28/2015,100467361
12/29/2015,100642271
12/30/2015,100826877
12/31/2015,101004445
1/1/2016,101157937
1/2/2016,101282499
1/3/2016,101430508
1/4/2016,101575682
1/5/2016,101754439
1/6/2016,101938255
1/7/2016,102110204
1/8/2016,102301438
1/9/2016,102481214
1/10/2016,102666979
1/11/2016,102823113
1/12/2016,103016183
1/13/2016,103210790
1/14/2016,103403415
1/15/2016,103585385
1/16/2016,103764620
1/17/2016,103962186
1/18/2016,104158532
1/19/2016,104375364
1/20/2016,104563505
1/21/2016,104773295
1/22/2016,104990706
1/23/2016,105207006
1/24/2016,105395228
1/25/2016,105599783
1/26/2016,105824223
1/27/2016,106053182
1/28/2016,106283678
1/29/2016,106505395
1/30/2016,106728573
1/31/2016,106923866
2/1/2016,107101861
2/2/2016,107328458
2/3/2016,107566832
2/4/2016,107754422
2/5/2016,107956611
2/6/2016,108179454
2/7/2016,108408206
2/8/2016,108618919
2/9/2016,108847677
2/10/2016,109080810
2/11/2016,109310202
2/12/2016,109531519
2/13/2016,109733298
2/14/2016,109918187
2/15/2016,110108029
2/16/2016,110328800
2/17/2016,110545186
2/18/2016,110769440
2/19/2016,110983305
2/20/2016,111201523
2/21/2016,111417693
2/22/2016,111626325
2/23/2016,111862658
2/24/2016,112111798
2/25/2016,112331705
2/26/2016,112549482
2/27/2016,112753423
2/28/2016,112930449
2/29/2016,113170338
3/1/2016,113434533
3/2/2016,113710229
3/3/2016,113976023
3/4/2016,114204377
3/5/2016,114405262
3/6/2016,114641181
3/7/2016,114802416
3/8/2016,114989770
3/9/2016,115187429
3/10/2016,115374271
3/11/2016,115565087
3/12/2016,115760653
3/13/2016,115927265
3/14/2016,116075299
3/15/2016,116264559
3/16/2016,116468948
3/17/2016,116680938
3/18/2016,116887871
3/19/2016,117092316
3/20/2016,117273090
3/21/2016,117448022
3/22/2016,117647914
3/23/2016,117851245
3/24/2016,118041328
3/25/2016,118230567
3/26/2016,118401355
3/27/2016,118560925
3/28/2016,118719791
3/29/2016,118919302
3/30/2016,119120086
3/31/2016,119318727
4/1/2016,119528828
4/2/2016,119732545
4/3/2016,119922281
4/4/2016,120094260
4/5/2016,120303517
4/6/2016,120522798
4/7/2016,120742125
4/8/2016,120963379
4/9/2016,121173688
4/10/2016,121371384
4/11/2016,121557870
4/12/2016,121792076
4/13/2016,122025957
4/14/2016,122250981
4/15/2016,122479691
4/16/2016,122693017
4/17/2016,122873751
4/18/2016,123067160
4/19/2016,123289306
4/20/2016,123515109
4/21/2016,123727194
4/22/2016,123942772
4/23/2016,124152490
4/24/2016,124336634
4/25/2016,124519362
4/26/2016,124740916
