Date,Price,Open,High,Low
3/31/2013,1600,1596.8,1600.5,1594.8
4/1/2013,1600,1596.8,1600.5,1594.8
4/2/2013,1575.1,1599.2,1602.6,1574.1
4/3/2013,1552.8,1575.7,1576.4,1549.2
4/4/2013,1551.8,1557.3,1557.3,1539.1
4/5/2013,1575.4,1553.2,1580.6,1550.1
4/6/2013,1572,1575.8,1580.6,1567.6
4/7/2013,1572,1575.8,1580.6,1567.6
4/8/2013,1572,1575.8,1580.6,1567.6
4/9/2013,1586.2,1571.6,1589.3,1570
4/10/2013,1558.3,1584.4,1586,1557
4/11/2013,1564.3,1557.1,1566.7,1554.8
4/12/2013,1501,1560.8,1560.8,1480.2
4/13/2013,1360.6,1478.2,1487.4,1338
4/14/2013,1360.6,1478.2,1487.4,1338
4/15/2013,1360.6,1478.2,1487.4,1338
4/16/2013,1386.8,1358,1401,1323
4/17/2013,1382.2,1373.2,1394.2,1370.2
4/18/2013,1392,1347.5,1396.4,1347.5
4/19/2013,1395.3,1419.3,1420.3,1395.1
4/20/2013,1421,1406.8,1434.9,1406.8
4/21/2013,1421,1406.8,1434.9,1406.8
4/22/2013,1421,1406.8,1434.9,1406.8
4/23/2013,1408.6,1429.5,1429.5,1405.8
4/24/2013,1423.4,1423.2,1430.1,1420.4
4/25/2013,1461.8,1433,1458.3,1433
4/26/2013,1453.6,1467.4,1480,1451.4
4/27/2013,1467.4,1462.7,1475.5,1462.3
4/28/2013,1467.4,1462.7,1475.5,1462.3
4/29/2013,1467.4,1462.7,1475.5,1462.3
4/30/2013,1472.2,1471.1,1476.6,1461
5/1/2013,1446.3,1475.8,1477.1,1440
5/2/2013,1467.7,1459,1471.2,1453.5
5/3/2013,1464.3,1465.5,1487.1,1461.4
5/4/2013,1468.1,1468.1,1477.2,1466.8
5/5/2013,1468.1,1468.1,1477.2,1466.8
5/6/2013,1468.1,1468.1,1477.2,1466.8
5/7/2013,1449,1462,1466.2,1441.2
5/8/2013,1473.9,1455.5,1474.7,1450.7
5/9/2013,1468.8,1471.2,1473.4,1453
5/10/2013,1436.8,1455.6,1459.3,1423
5/11/2013,1434.5,1440,1440.6,1427.8
5/12/2013,1434.5,1440,1440.6,1427.8
5/13/2013,1434.5,1440,1440.6,1427.8
5/14/2013,1424.7,1430.1,1444.4,1422
5/15/2013,1396.5,1425.7,1425.7,1390.1
5/16/2013,1387.1,1390.4,1395.1,1370.6
5/17/2013,1364.9,1386.7,1391.1,1359.1
5/18/2013,1384.3,1342.9,1391.9,1342.9
5/19/2013,1384.3,1342.9,1391.9,1342.9
5/20/2013,1384.3,1342.9,1391.9,1342.9
5/21/2013,1377.8,1386.5,1392.3,1358.5
5/22/2013,1367.6,1387.2,1395.7,1364.5
5/23/2013,1392,1380.6,1394.8,1377.8
5/24/2013,1386.8,1386.8,1386.8,1386.8
5/25/2013,1395.95,1385.95,1396.15,1384.15
5/26/2013,1395.95,1385.95,1396.15,1384.15
5/27/2013,1395.95,1385.95,1396.15,1384.15
5/28/2013,1379.1,1380.8,1392.5,1379.8
5/29/2013,1391.3,1391.3,1391.3,1391.3
5/30/2013,1411.5,1392.1,1417.5,1388.3
5/31/2013,1392.6,1412.4,1421.1,1384.2
6/1/2013,1411.7,1389.1,1416.3,1388.3
6/2/2013,1411.7,1389.1,1416.3,1388.3
6/3/2013,1411.7,1389.1,1416.3,1388.3
6/4/2013,1397.1,1410.9,1414.1,1389
6/5/2013,1398.4,1397.5,1410,1395.6
